stimuli,feature,score
henmi_ang_au_cl_4_0,AU01_intensity,0.42578068211535264
henmi_ang_au_cl_4_0,AU02_intensity,0.0
henmi_ang_au_cl_4_0,AU04_intensity,1.752920897528248
henmi_ang_au_cl_4_0,AU05_intensity,0.00906216845000736
henmi_ang_au_cl_4_0,AU06_intensity,0.5634997111496743
henmi_ang_au_cl_4_0,AU07_intensity,1.0428728927116024
henmi_ang_au_cl_4_0,AU09_intensity,0.0
henmi_ang_au_cl_4_0,AU10_intensity,0.55569339212359
henmi_ang_au_cl_4_0,AU12_intensity,0.36982706546459404
henmi_ang_au_cl_4_0,AU14_intensity,1.1023326120672121
henmi_ang_au_cl_4_0,AU15_intensity,1.8257404537931317
henmi_ang_au_cl_4_0,AU17_intensity,2.6627577577625625
henmi_ang_au_cl_4_0,AU20_intensity,2.7574689600428752
henmi_ang_au_cl_4_0,AU23_intensity,1.0360273015319483
henmi_ang_au_cl_4_0,AU25_intensity,0.004343999338872101
henmi_ang_au_cl_4_0,AU26_intensity,0.49245853519967836
henmi_ang_au_cl_4_0,AU45_intensity,0.010233015157002584
henmi_ang_au_op_1_0,AU01_intensity,1.0416342556735607
henmi_ang_au_op_1_0,AU02_intensity,0.0
henmi_ang_au_op_1_0,AU04_intensity,1.732600399186637
henmi_ang_au_op_1_0,AU05_intensity,0.059682770348623806
henmi_ang_au_op_1_0,AU06_intensity,0.1817786304741018
henmi_ang_au_op_1_0,AU07_intensity,1.2324259918222802
henmi_ang_au_op_1_0,AU09_intensity,0.05166302926222723
henmi_ang_au_op_1_0,AU10_intensity,0.306064131467028
henmi_ang_au_op_1_0,AU12_intensity,0.11662020919448643
henmi_ang_au_op_1_0,AU14_intensity,0.19816369442641818
henmi_ang_au_op_1_0,AU15_intensity,1.5804672959988444
henmi_ang_au_op_1_0,AU17_intensity,0.5331551516163496
henmi_ang_au_op_1_0,AU20_intensity,1.673497662187093
henmi_ang_au_op_1_0,AU23_intensity,0.10768542847719378
henmi_ang_au_op_1_0,AU25_intensity,1.2819587890135429
henmi_ang_au_op_1_0,AU26_intensity,0.24100838394765148
henmi_ang_au_op_1_0,AU45_intensity,0.07468493378874706
henmi_dis_au_cl_1_0,AU01_intensity,0.5286631550577204
henmi_dis_au_cl_1_0,AU02_intensity,0.0
henmi_dis_au_cl_1_0,AU04_intensity,2.391271677681805
henmi_dis_au_cl_1_0,AU05_intensity,0.0
henmi_dis_au_cl_1_0,AU06_intensity,1.6236837211469106
henmi_dis_au_cl_1_0,AU07_intensity,3.6090345405636897
henmi_dis_au_cl_1_0,AU09_intensity,1.9993480090973341
henmi_dis_au_cl_1_0,AU10_intensity,1.8943934705311192
henmi_dis_au_cl_1_0,AU12_intensity,0.1579864287235807
henmi_dis_au_cl_1_0,AU14_intensity,0.3765269119533032
henmi_dis_au_cl_1_0,AU15_intensity,2.2846039143042263
henmi_dis_au_cl_1_0,AU17_intensity,2.6580944635519774
henmi_dis_au_cl_1_0,AU20_intensity,1.818589905710163
henmi_dis_au_cl_1_0,AU23_intensity,0.2980937517841299
henmi_dis_au_cl_1_0,AU25_intensity,0.022778547308815542
henmi_dis_au_cl_1_0,AU26_intensity,0.11236181269428336
henmi_dis_au_cl_1_0,AU45_intensity,0.5083794652667182
henmi_dis_au_op_2_0,AU01_intensity,0.6691901704339367
henmi_dis_au_op_2_0,AU02_intensity,0.0
henmi_dis_au_op_2_0,AU04_intensity,3.028831925622338
henmi_dis_au_op_2_0,AU05_intensity,0.0
henmi_dis_au_op_2_0,AU06_intensity,1.961482528562536
henmi_dis_au_op_2_0,AU07_intensity,4.0969285085535745
henmi_dis_au_op_2_0,AU09_intensity,1.8618624236247854
henmi_dis_au_op_2_0,AU10_intensity,2.1744810079014045
henmi_dis_au_op_2_0,AU12_intensity,0.224207065020927
henmi_dis_au_op_2_0,AU14_intensity,0.5310095913306302
henmi_dis_au_op_2_0,AU15_intensity,1.9278563781281397
henmi_dis_au_op_2_0,AU17_intensity,1.064939509083766
henmi_dis_au_op_2_0,AU20_intensity,2.1433098414784193
henmi_dis_au_op_2_0,AU23_intensity,0.042211967819888535
henmi_dis_au_op_2_0,AU25_intensity,1.4577822116632153
henmi_dis_au_op_2_0,AU26_intensity,0.06811763323837298
henmi_dis_au_op_2_0,AU45_intensity,0.5200482746844877
henmi_exc_fr_1_0,AU01_intensity,0.6093614164154578
henmi_exc_fr_1_0,AU02_intensity,0.02066666640322652
henmi_exc_fr_1_0,AU04_intensity,0.24565868734359927
henmi_exc_fr_1_0,AU05_intensity,0.06653333246176853
henmi_exc_fr_1_0,AU06_intensity,2.2915717351591374
henmi_exc_fr_1_0,AU07_intensity,2.681796389508924
henmi_exc_fr_1_0,AU09_intensity,0.07464368663596609
henmi_exc_fr_1_0,AU10_intensity,1.7829321612694018
henmi_exc_fr_1_0,AU12_intensity,2.130481471422478
henmi_exc_fr_1_0,AU14_intensity,1.2255533412465134
henmi_exc_fr_1_0,AU15_intensity,0.46155950454002254
henmi_exc_fr_1_0,AU17_intensity,0.23455709266063587
henmi_exc_fr_1_0,AU20_intensity,1.697754539365873
henmi_exc_fr_1_0,AU23_intensity,0.21909454224393254
henmi_exc_fr_1_0,AU25_intensity,2.206473573609046
henmi_exc_fr_1_0,AU26_intensity,0.7447641321396382
henmi_exc_fr_1_0,AU45_intensity,0.05168307787549336
henmi_fea_au_mouth_2_0,AU01_intensity,1.284917395816897
henmi_fea_au_mouth_2_0,AU02_intensity,0.023466666665484814
henmi_fea_au_mouth_2_0,AU04_intensity,1.5714014398871534
henmi_fea_au_mouth_2_0,AU05_intensity,1.324603529242686
henmi_fea_au_mouth_2_0,AU06_intensity,0.8397634509705373
henmi_fea_au_mouth_2_0,AU07_intensity,1.857715234441265
henmi_fea_au_mouth_2_0,AU09_intensity,0.0
henmi_fea_au_mouth_2_0,AU10_intensity,0.6012151960446033
henmi_fea_au_mouth_2_0,AU12_intensity,0.5057871128547862
henmi_fea_au_mouth_2_0,AU14_intensity,0.22472071930307858
henmi_fea_au_mouth_2_0,AU15_intensity,1.7251488771181773
henmi_fea_au_mouth_2_0,AU17_intensity,0.6633119880287152
henmi_fea_au_mouth_2_0,AU20_intensity,1.904330091122478
henmi_fea_au_mouth_2_0,AU23_intensity,0.11060272498647095
henmi_fea_au_mouth_2_0,AU25_intensity,1.2656548664363765
henmi_fea_au_mouth_2_0,AU26_intensity,0.38342876671486614
henmi_fea_au_mouth_2_0,AU45_intensity,0.08356053596122273
henmi_hap_au_du_1_0,AU01_intensity,0.40465246755579815
henmi_hap_au_du_1_0,AU02_intensity,0.0
henmi_hap_au_du_1_0,AU04_intensity,0.15748398941126504
henmi_hap_au_du_1_0,AU05_intensity,0.0
henmi_hap_au_du_1_0,AU06_intensity,2.237513974709462
henmi_hap_au_du_1_0,AU07_intensity,2.3719770150090893
henmi_hap_au_du_1_0,AU09_intensity,0.0
henmi_hap_au_du_1_0,AU10_intensity,1.3871316226711607
henmi_hap_au_du_1_0,AU12_intensity,2.3435599536191787
henmi_hap_au_du_1_0,AU14_intensity,1.111185670461856
henmi_hap_au_du_1_0,AU15_intensity,0.37985994743341206
henmi_hap_au_du_1_0,AU17_intensity,0.3295815975264807
henmi_hap_au_du_1_0,AU20_intensity,0.8018267529685488
henmi_hap_au_du_1_0,AU23_intensity,0.14841660259624184
henmi_hap_au_du_1_0,AU25_intensity,1.9030872356087756
henmi_hap_au_du_1_0,AU26_intensity,0.5761872216547078
henmi_hap_au_du_1_0,AU45_intensity,0.1553512598673372
henmi_rel_fr_2_0,AU01_intensity,0.45784681470594873
henmi_rel_fr_2_0,AU02_intensity,0.0
henmi_rel_fr_2_0,AU04_intensity,0.2797561053022301
henmi_rel_fr_2_0,AU05_intensity,0.005867051346730068
henmi_rel_fr_2_0,AU06_intensity,1.4976235488516108
henmi_rel_fr_2_0,AU07_intensity,1.7619309510825687
henmi_rel_fr_2_0,AU09_intensity,0.0
henmi_rel_fr_2_0,AU10_intensity,0.6191980542464635
henmi_rel_fr_2_0,AU12_intensity,1.4242892564003438
henmi_rel_fr_2_0,AU14_intensity,0.6166529266444938
henmi_rel_fr_2_0,AU15_intensity,1.091724485703385
henmi_rel_fr_2_0,AU17_intensity,1.640309514278797
henmi_rel_fr_2_0,AU20_intensity,1.6795857546210338
henmi_rel_fr_2_0,AU23_intensity,0.7356741246205931
henmi_rel_fr_2_0,AU25_intensity,0.021856070067972137
henmi_rel_fr_2_0,AU26_intensity,0.21940792882805676
henmi_rel_fr_2_0,AU45_intensity,0.7287102407872489
henmi_sad_au_mouth_3_0,AU01_intensity,0.6455407972787797
henmi_sad_au_mouth_3_0,AU02_intensity,0.0
henmi_sad_au_mouth_3_0,AU04_intensity,2.0729558892518027
henmi_sad_au_mouth_3_0,AU05_intensity,0.0017345732179894825
henmi_sad_au_mouth_3_0,AU06_intensity,0.43263931331277555
henmi_sad_au_mouth_3_0,AU07_intensity,1.216363479172361
henmi_sad_au_mouth_3_0,AU09_intensity,0.0
henmi_sad_au_mouth_3_0,AU10_intensity,0.37488776190656914
henmi_sad_au_mouth_3_0,AU12_intensity,0.15221015023424908
henmi_sad_au_mouth_3_0,AU14_intensity,0.13870291757195988
henmi_sad_au_mouth_3_0,AU15_intensity,1.8729048986187455
henmi_sad_au_mouth_3_0,AU17_intensity,1.5556847141690098
henmi_sad_au_mouth_3_0,AU20_intensity,2.0719543324604563
henmi_sad_au_mouth_3_0,AU23_intensity,0.27260810815085496
henmi_sad_au_mouth_3_0,AU25_intensity,0.006279823305798412
henmi_sad_au_mouth_3_0,AU26_intensity,0.24505158049389542
henmi_sad_au_mouth_3_0,AU45_intensity,0.8143262094560565
henmi_sle_fr_2_0,AU01_intensity,0.7274661182977673
henmi_sle_fr_2_0,AU02_intensity,0.0
henmi_sle_fr_2_0,AU04_intensity,0.8991927608361281
henmi_sle_fr_2_0,AU05_intensity,0.0
henmi_sle_fr_2_0,AU06_intensity,0.024799998760908725
henmi_sle_fr_2_0,AU07_intensity,0.6731536418255336
henmi_sle_fr_2_0,AU09_intensity,0.0046666666667405194
henmi_sle_fr_2_0,AU10_intensity,0.06951237455168136
henmi_sle_fr_2_0,AU12_intensity,0.19734180298313375
henmi_sle_fr_2_0,AU14_intensity,0.29007664660307025
henmi_sle_fr_2_0,AU15_intensity,1.4703677902423982
henmi_sle_fr_2_0,AU17_intensity,1.3692492670941754
henmi_sle_fr_2_0,AU20_intensity,1.6832026389780013
henmi_sle_fr_2_0,AU23_intensity,0.07696067016589898
henmi_sle_fr_2_0,AU25_intensity,0.3549246863183549
henmi_sle_fr_2_0,AU26_intensity,0.8579584616717326
henmi_sle_fr_2_0,AU45_intensity,2.2208958617116226
henmi_sur_au_mouth_2_0,AU01_intensity,2.272725598387177
henmi_sur_au_mouth_2_0,AU02_intensity,1.7965768115410155
henmi_sur_au_mouth_2_0,AU04_intensity,1.1305286194133206
henmi_sur_au_mouth_2_0,AU05_intensity,2.6872827933704464
henmi_sur_au_mouth_2_0,AU06_intensity,0.007998740736247517
henmi_sur_au_mouth_2_0,AU07_intensity,0.7204307549409232
henmi_sur_au_mouth_2_0,AU09_intensity,0.0005333333334479423
henmi_sur_au_mouth_2_0,AU10_intensity,0.005466666397358232
henmi_sur_au_mouth_2_0,AU12_intensity,0.16479066226022018
henmi_sur_au_mouth_2_0,AU14_intensity,0.17968517196927866
henmi_sur_au_mouth_2_0,AU15_intensity,1.3471242268275363
henmi_sur_au_mouth_2_0,AU17_intensity,0.30141001271797746
henmi_sur_au_mouth_2_0,AU20_intensity,0.6072178450831394
